postal_code,average_lead_by_postal_code
M1B,7.090714285714286e-4
M1C,7.921727272727272e-4
M1E,1.0937941176470588e-4
M1G,2.2516129032258063e-4
M1H,1.436153846153846e-4
M1J,3.843619047619047e-4
M1K,3.1732698412698416e-4
M1L,5.464451327433629e-4
M1M,7.594484375e-4
M1N,0.003610323036649213
M1P,2.2259285714285712e-4
M1R,4.244731343283582e-4
M1S,6.902636363636366e-4
M1T,0.02674231935483871
M1V,1.4728666666666667e-4
M1W,5.5140000000000004e-5
M1X,1.1094999999999999e-4
M2H,1.942037037037037e-4
M2J,0.0038841822222222227
M2K,1.835851851851852e-4
M2L,0.006133
M2M,2.8965777777777775e-4
M2N,6.026578125e-4
M2P,2.04075e-4
M2R,6.747465116279069e-4
M3A,0.0069930355555555546
M3B,2.3647380952380952e-4
M3C,1.8241304347826084e-4
M3H,8.211715596330278e-4
M3J,1.12e-4
M3K,8.266250000000001e-5
M3L,1.1546923076923078e-4
M3M,0.003912976923076923
M3N,4.134333333333333e-4
M4A,1.286485714285714e-4
M4B,0.006251609219858163
M4C,0.002804801229508196
M4E,0.002172357246376812
M4G,0.0017236404858299588
M4J,0.013743001451187327
M4K,0.003948401098901098
M4L,0.0014861145025295108
M4M,0.0024419143661971836
M4N,0.03414846546184739
M4P,0.002507927722772278
M4R,0.001472405780346821
M4S,0.0018045499999999998
M4T,0.00236275054945055
M4V,0.0011972028571428572
M4W,0.0013650041095890411
M4X,0.01055874647887324
M4Y,3.967636363636364e-4
M5A,0.0014126726315789476
M5B,8.985384615384616e-4
M5C,6.950000000000001e-5
M5E,2.953e-4
M5G,5.350000000000001e-4
M5H,0.00216445
M5J,3.0063333333333334e-4
M5K,6.04e-5
M5M,0.0018396338624338628
M5N,0.0011115293233082708
M5P,9.138007407407408e-4
M5R,0.018945715668202776
M5S,5.955086666666667e-4
M5T,5.134887323943663e-4
M5V,0.002184887096774193
M6A,1.6001538461538463e-4
M6B,2.1858985507246375e-4
M6C,0.004356920661157026
M6E,0.005720602710027101
M6G,9.95251827956989e-4
M6H,0.008643683817427382
M6J,0.01208261705202312
M6K,0.0072444470852017955
M6L,0.0028914235294117646
M6M,0.004668322115384616
M6N,0.004911854104477613
M6P,0.002075397306397306
M6R,0.001724977727272727
M6S,0.005314226562499998
M8V,5.349274725274722e-4
M8W,5.114427083333334e-4
M8X,2.4670689655172416e-4
M8Y,4.049311594202898e-4
M8Z,2.0404807692307695e-4
M9A,0.009350478217821789
M9B,0.01127851081081081
M9C,2.277630769230769e-4
M9L,1.458e-4
M9M,5.324916666666667e-4
M9N,0.0012478316666666663
M9P,2.570448979591837e-4
M9R,1.521952380952381e-4
M9V,2.2393499999999995e-4
M9W,0.16941073571428575
m2l,5e-5
