sample_date,postal_code,lead_concentration_ppb
2015-01-02,M1N,2.4
2015-01-02,M4V,0.523
2015-01-02,M4J,11.1
2015-01-02,M6H,0.6769999999999999
2015-01-02,M6R,0.0501
2015-01-02,M6J,0.222
2015-01-03,M6P,2.61
2015-01-05,M4J,0.05
2015-01-05,M4J,0.513
2015-01-05,M6S,6.79
2015-01-05,M6H,0.0733
2015-01-05,M9R,0.247
2015-01-05,M2R,0.0868
2015-01-05,M4C,0.355
2015-01-05,M6C,0.491
2015-01-05,M6C,0.207
2015-01-05,M1N,9.2
2015-01-05,M6P,0.225
2015-01-06,M4R,0.6449999999999999
2015-01-07,M8Y,0.0964
2015-01-07,M6E,0.0983
2015-01-07,M4C,2.16
2015-01-07,M1R,0.05
2015-01-08,M5M,0.14300000000000002
2015-01-08,M4K,0.705
2015-01-08,M6G,0.228
2015-01-09,M5M,5.21
2015-01-09,M4C,2.0100000000000002
2015-01-09,M5M,0.9650000000000001
2015-01-09,M4K,1.33
2015-01-09,M4T,0.0653
2015-01-13,M6S,1.2
2015-01-13,M4J,1.57
2015-01-13,M4E,2.34
2015-01-13,M5M,2.84
2015-01-13,M4S,0.486
2015-01-14,M6C,0.0953
2015-01-14,M8W,0.05
2015-01-14,M9C,0.05
2015-01-14,M4M,1.33
2015-01-15,M6E,6.029999999999999
2015-01-15,M4E,1.9400000000000002
2015-01-15,M5P,0.09670000000000001
2015-01-15,M3N,2.77
2015-01-18,M6C,0.05
2015-01-19,M6P,0.777
2015-01-19,M4N,1.26
2015-01-19,M4P,0.32
2015-01-20,M4M,2.5500000000000003
2015-01-20,M6S,0.104
2015-01-20,M4L,3.8600000000000003
2015-01-20,M4R,1.3
2015-01-21,M6G,1.34
2015-01-21,M5A,0.05
2015-01-21,M8V,0.06470000000000001
2015-01-21,M4E,0.429
2015-01-22,M4G,0.061500000000000006
2015-01-22,M2N,0.05
2015-01-23,M6C,0.122
2015-01-23,M4C,0.532
2015-01-23,M6J,0.36900000000000005
2015-01-23,M4P,5.21
2015-01-25,M6G,0.10500000000000001
2015-01-25,M6G,0.236
2015-01-26,M6G,0.05
2015-01-26,M4P,0.0633
2015-01-26,M8Y,0.414
2015-01-26,M6P,0.05
2015-01-26,M5M,0.05
2015-01-27,M4S,0.314
2015-01-27,M5A,0.95
2015-01-27,M6H,0.0792
2015-01-27,M6P,0.7290000000000001
2015-01-27,M9C,0.05
2015-01-27,M6C,1.02
2015-01-27,M5M,0.074
2015-01-27,M5M,0.16
2015-01-28,M1H,0.05
2015-01-28,M4G,0.05
2015-01-28,M5R,3.31
2015-01-28,M4K,1.08
2015-01-28,M5M,0.23
2015-01-29,M5N,0.05
2015-01-29,M6H,0.307
2015-01-29,M4W,0.05
2015-01-30,M4C,0.545
2015-01-30,M9A,0.05
2015-01-30,M6J,0.05
2015-01-30,M6C,1.9200000000000002
2015-01-30,M6H,0.085
2015-01-31,M6G,0.8490000000000001
2015-02-02,M5M,0.0772
2015-02-02,M6E,2.67
2015-02-02,M6P,0.7150000000000001
2015-02-03,M6R,2.35
2015-02-03,M4C,0.05
2015-02-04,M6S,0.985
2015-02-04,M4J,0.21000000000000002
2015-02-04,M5P,0.06509999999999999
2015-02-05,M5M,0.050300000000000004
2015-02-05,M4J,0.05
2015-02-06,M3H,0.0524
2015-02-06,M6N,2.04
2015-02-06,M6C,0.125
2015-02-08,M3L,0.05
2015-02-09,M1N,0.05
2015-02-09,M4L,0.05
2015-02-09,M4L,0.9169999999999999
2015-02-09,M5S,6.550000000000001
2015-02-09,M4L,0.05
2015-02-09,M4J,2.07
2015-02-09,M4V,2.71
2015-02-10,M6S,0.127
2015-02-10,M6E,0.6970000000000001
2015-02-10,M6C,12.4
2015-02-10,M4K,0.741
2015-02-10,M4C,0.533
2015-02-11,M4R,0.719
2015-02-11,M4C,0.136
2015-02-11,M4E,0.087
2015-02-11,M4E,0.05
2015-02-12,M4C,0.764
2015-02-12,M4J,0.05
2015-02-12,M1N,1.56
2015-02-12,M6R,0.05
2015-02-13,M4J,0.13699999999999998
2015-02-13,M4C,0.8170000000000001
2015-02-17,M4C,0.05
2015-02-17,M5M,0.05
2015-02-17,M4C,0.05
2015-02-18,M4R,3.04
2015-02-18,M6N,0.126
2015-02-18,M6G,0.05
2015-02-20,M5N,0.12000000000000001
2015-02-20,M9A,0.0692
2015-02-23,M4K,0.251
2015-02-23,M6C,0.712
2015-02-23,M6H,0.25
2015-02-23,M4W,0.221
2015-02-24,M1N,0.213
2015-02-24,M5R,0.05
2015-02-24,M4E,0.782
2015-02-25,M4M,0.306
2015-02-25,M4C,1.22
2015-02-26,M5A,3.83
2015-02-26,M4P,4.88
2015-02-26,M4K,0.05
2015-02-26,M6P,0.05
2015-02-26,M4T,0.05
2015-02-27,M6R,0.05
2015-02-27,M6P,3.61
2015-02-27,M4R,2.26
2015-02-27,M4C,0.05
2015-02-27,M6S,5.54
2015-03-01,M6P,0.050300000000000004
2015-03-02,M4R,0.05
2015-03-02,M6R,0.388
2015-03-02,M2N,0.0649
2015-03-02,M4C,1.46
2015-03-02,M6R,1.01
2015-03-02,M5N,0.0816
2015-03-02,M4R,0.05
2015-03-03,M6H,0.40900000000000003
2015-03-03,M5A,0.05
2015-03-03,M6P,0.05
2015-03-03,M4K,0.05
2015-03-03,M4K,0.05
2015-03-03,M4C,0.0516
2015-03-04,M4L,1.45
2015-03-04,M4C,0.128
2015-03-04,M6C,2.32
2015-03-04,M4K,0.103
2015-03-05,M6N,0.435
2015-03-06,M4N,0.05
2015-03-06,M3H,0.05
2015-03-07,M8V,0.135
2015-03-07,M6S,0.104
2015-03-08,M4K,0.187
2015-03-09,M5R,0.0572
2015-03-09,M6K,3.72
2015-03-09,M6S,0.05
2015-03-09,M5M,0.05
2015-03-10,M8V,0.131
2015-03-10,M4P,51.6
2015-03-10,M6K,0.102
2015-03-10,M6H,0.294
2015-03-11,M6J,0.212
2015-03-11,M4L,4.3
2015-03-11,M6N,0.47
2015-03-12,M6R,0.0569
2015-03-12,M8V,0.263
2015-03-13,M6G,0.12300000000000001
2015-03-13,M4C,0.0756
2015-03-13,M8Y,0.0709
2015-03-13,M4L,0.79
2015-03-14,M4C,0.8270000000000001
2015-03-15,M6S,2.17
2015-03-15,M4L,0.365
2015-03-15,M6C,0.05
2015-03-15,M9P,0.05
2015-03-15,M6M,3.95
2015-03-16,M4M,1.58
